2017-05-29 19:05:29,011 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.1.Final-redhat-1
2017-05-29 19:05:29,152 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final-redhat-1
2017-05-29 19:05:29,183 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) starting
2017-05-29 19:05:29,667 INFO  [org.xnio] (MSC service thread 1-1) XNIO version 3.3.6.Final-redhat-1
2017-05-29 19:05:29,682 INFO  [org.xnio.nio] (MSC service thread 1-1) XNIO NIO Implementation Version 3.3.6.Final-redhat-1
2017-05-29 19:05:29,916 INFO  [org.jboss.remoting] (MSC service thread 1-1) JBoss Remoting version 4.0.18.Final-redhat-1
2017-05-29 19:05:29,932 INFO  [org.jboss.as.remoting] (MSC service thread 1-6) WFLYRMT0001: Listening on 0.0.0.0:11999
2017-05-29 19:05:31,913 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 2) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=primary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2017-05-29 19:05:31,991 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0148: Connected to master host controller at remote://127.0.0.1:9999
2017-05-29 19:05:32,022 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server Server21
2017-05-29 19:05:32,022 WARN  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-05-29 19:05:32,038 WARN  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-05-29 19:05:33,741 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:Server21] connected using connection [Channel ID 380c7d19 (inbound) of Remoting connection 3f7bdc3c to /192.168.0.140:50793]
2017-05-29 19:05:33,788 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server Server21
2017-05-29 19:05:33,835 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) (Host Controller) started in 5120ms - Started 43 of 44 services (13 services are lazy, passive or on-demand)
2017-05-29 19:23:11,980 INFO  [org.jboss.as.host.controller] (management task-3) WFLYHC0029: Unregistered at domain controller
2017-05-29 19:23:11,980 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 8) WFLYHC0024: Stopping server Server21
2017-05-29 19:23:12,338 INFO  [org.jboss.as.host.controller] (management I/O-1) WFLYHC0027: Unregistering server Server21
2017-05-29 19:23:12,931 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server Server21
2017-05-29 19:23:12,946 INFO  [org.jboss.as] (MSC service thread 1-3) WFLYSRV0050: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) stopped in 999ms
